fecha,volumen_DSP,volumen_NFP,volumen_NFC
2022-04-01,8250.661415301123,2812.930518592241,9617.223205707192
2022-04-02,6217.523569882882,2646.149140836876,8787.202669757135
2022-04-03,6930.748853810069,1241.3747036437233,9359.098393895369
2022-04-04,5653.462985640804,2040.6786952531284,10815.788281084671
2022-04-05,8928.674662527666,2990.599221841317,10397.908453206055
2022-04-06,6735.506304305082,2211.1215519652096,11328.773065271074
2022-04-07,7816.311281550739,2210.4115676933397,12025.146612464683
2022-04-08,8465.27347291529,2179.015879961833,11842.311933433384
2022-04-09,7925.762561406505,1022.0816436589862,10644.5215704481
2022-04-10,6394.316004358597,1307.3733865344377,10634.795645930411
2022-04-11,6325.758230718754,2200.44409439863,9611.946052791882
2022-04-12,12196.352684174499,3184.850945257179,9777.283477074834
2022-04-13,9517.926227156602,2815.968050123311,13900.8643578333
2022-04-14,8900.86197553422,2085.480779261913,13022.514859850802
2022-04-15,5592.058216748697,774.3790601483207,8646.361969595755
2022-04-16,6059.191247075902,981.5349523357484,7991.221638872968
2022-04-17,4754.146887966558,1164.1427198003803,8684.438394299988
2022-04-18,5315.6247332595285,2087.5362966478992,8897.855165356377
2022-04-19,12196.352684174499,2970.16151527802,9501.585392335714
2022-04-20,5654.91962986647,1996.0565111014591,10403.190806454604
2022-04-21,6172.954876892156,1873.959754363476,10605.610600902728
2022-04-22,5983.562369951347,2221.7315766150546,10876.47528685226
2022-04-23,7393.772820468793,1493.4727303490656,10786.992009727875
2022-04-24,5793.785181378655,929.3917732619516,8912.532737967385
2022-04-25,5995.901727547481,1879.836207499032,10051.394034848
2022-04-26,10852.102258970988,3219.13308267035,9464.815119832554
2022-04-27,2708.381780057457,2211.228120515174,5641.109236457633
2022-04-28,7031.459801834568,2438.5778607725138,11135.209467659864
2022-04-29,8053.756131008119,3063.336037711764,12776.005614143844
2022-04-30,8097.050625020672,1886.8155634529328,11002.742823813303
2022-05-01,6244.62933877706,1325.9867150756988,9698.254613567286
2022-05-02,6638.377818450895,2157.6821682354675,8688.38211612067
2022-05-03,11986.280277526206,2993.4743584144176,9197.572737414645
2022-05-04,7022.16890710441,2684.963524446232,10412.57369139134
2022-05-05,7058.114491210319,2091.4696092431504,10468.358890623049
2022-05-06,8105.755635002898,2021.820003492493,13008.242596094497
2022-05-07,9298.216359500477,1672.348637115545,12730.498116903096
2022-05-08,8310.312987612024,1204.8018248320004,12628.33167765779
2022-05-09,5052.221395110156,1951.7853406655809,11472.562514993726
2022-05-10,10568.156123586912,3478.5872206483737,8756.421187504644
2022-05-11,5887.746657999542,2105.368822673577,10263.893190335371
2022-05-12,6658.986828118997,2450.1164087858065,9622.097274852202
2022-05-13,6748.755171761177,2215.758952379073,12046.445921844594
2022-05-14,7464.80963044107,2013.03624565524,11582.42002238489
2022-05-15,6921.217800963257,1038.6674558702853,9316.260175924494
2022-05-16,7023.465579160529,1673.255253161249,8101.1009860494705
2022-05-17,11511.416122904018,2273.151932584084,8057.194861989688
2022-05-18,3033.6222226218915,934.2903825271846,6236.962210430789
2022-05-19,5822.731828956846,1886.6804943198144,9439.781311117376
2022-05-20,7030.105984463727,2486.261912615525,11682.236376524994
2022-05-21,6242.91839693948,1509.185510329625,10832.99747801946
2022-05-22,5507.451771958368,1218.5307580068186,9294.87764126379
2022-05-23,5544.867799969405,1982.8208544671315,8792.037228674573
2022-05-24,10531.347628884088,2970.232482741114,9309.0696293593
2022-05-25,5793.819952249594,1344.9817902672153,9038.8977103467
2022-05-26,6950.85801191162,2011.39827434958,10860.33895099234
2022-05-27,7065.778247677736,2262.8584308245686,12510.38643836443
2022-05-28,6786.828762414879,1531.6697142563214,10394.809264070193
2022-05-29,6050.056343140357,1291.357128629537,9434.303221090087
2022-05-30,6129.114512712236,1730.50137666182,9596.991502495595
2022-05-31,10637.762576215471,2427.510062652156,9591.052483198697
2022-06-01,6491.674102333619,2930.3085216004824,11055.370365183797
2022-06-02,6607.3065025993965,2760.407620316964,11125.474033798466
2022-06-03,6928.039337591933,2362.553640925526,13821.01546537967
2022-06-04,7545.04258223942,1763.3154560026178,12722.185296707668
2022-06-05,6419.7340028570825,1484.577717083264,9502.75428717729
2022-06-06,5861.248987841967,2453.7707779390157,9480.568384167676
2022-06-07,9914.043289789202,3614.4143000192357,11142.780483497603
2022-06-08,6285.513602504764,3037.529571198469,11316.23081222744
2022-06-09,6887.118024539488,3276.760055197594,8763.36497422296
2022-06-10,7554.619560550841,2822.080343605024,11943.7546565913
2022-06-11,7086.7336566465965,2083.2617705566663,11925.471192968267
2022-06-12,5756.9873960890045,1131.0262461566613,9022.572500181845
2022-06-13,6515.5743655814,2375.6221592902307,10522.85825857079
2022-06-14,11351.245489591023,3207.0730186602623,8302.858654241882
2022-06-15,6155.610250437522,3084.8904446424544,11463.597069532869
2022-06-16,9018.164706823816,724.9505341392114,13625.901880609472
2022-06-17,7782.469264953414,2031.124707557674,10375.296893772063
2022-06-18,6695.78607765355,1477.83011431723,9934.07914753812
2022-06-19,5586.603108539911,817.9558303001156,8149.40217865038
2022-06-20,4969.792811216249,1208.314969818841,7828.248101856519
2022-06-21,10901.601257151176,2993.9585931714832,10002.3822227911
2022-06-22,5886.649404474152,2645.3285593994106,10905.627961061671
2022-06-23,8443.512978172635,612.5973590849839,13496.323972339702
2022-06-24,7146.140639710682,1443.9883425001492,12759.909932759514
2022-06-25,7009.074295641546,2269.8726049512275,11780.261610156358
2022-06-26,6111.270211770207,1548.7727772568182,9678.773628513003
